Species
Toussaintia hallei
Tridimeris cauliflora
Tridimeris crotalocarpa
Tridimeris globosa
Tridimeris nebulosa
Tridimeris tuxtlensis
Tridimeris uxpanapensis
Tridimeris villosa
Trigynaea oblongifolia
Trivalvaria argentea
Trivalvaria casseabriae
Trivalvaria dubia
Trivalvaria kanjilalii
Trivalvaria ochroleuca
Trivalvaria recurva
Trivalvaria rubra
Trivalvaria stenopetala
Trivalvaria tomentosa
Unonopsis renati
Uvaria alba
Uvaria albertisii
Uvaria ambongensis
Uvaria anisotricha
Uvaria annickiae
Uvaria anonoides
Uvaria argentea
Uvaria baumannii
Uvaria beccarii
Uvaria bipindensis
Uvaria blumei
Uvaria boniana
Uvaria borneensis
Uvaria botryoides
Uvaria brevistipitata
Uvaria cabindensis
Uvaria cabrae
Uvaria calamistrata
Uvaria callicarpa
Uvaria capuronii
Uvaria caroliafzelii
Uvaria cinerascens
Uvaria clavata
Uvaria clementis
Uvaria comperei
Uvaria concava
Uvaria cornuana
Uvaria cuanzensis
Uvaria cuneifolia
Uvaria curtisii
Uvaria curvistipitata
Uvaria dac
Uvaria dacremontii
Uvaria dasoclema
Uvaria dasychlamys
Uvaria decaryana
Uvaria dinklagei
Uvaria doeringii
Uvaria dulcis
Uvaria edulis
Uvaria elliptifolia
Uvaria excelsa
Uvaria ferruginea
Uvaria flexuosa
Uvaria forbesii
Uvaria furfuracea
Uvaria gabonensis
Uvaria glabra
Uvaria glabrata
Uvaria goloensis
Uvaria grandiflora
Uvaria griffithii
Uvaria hahnii
Uvaria hamiltonii
Uvaria heterotricha
Uvaria hirsuta
Uvaria hispidocostata
Uvaria humbertii
Uvaria johannis
Uvaria klaineana
Uvaria klainei
Uvaria kurzii
Uvaria lamponga
Uvaria lancifolia
Uvaria lanuginosa
Uvaria larep
Uvaria lastoursvillensis
Uvaria leichhardtii
Uvaria lemurica
Uvaria leopoldvillensis
Uvaria leptopoda
Uvaria littoralis
Uvaria lobbiana
Uvaria lombardii
Uvaria macclurei
Uvaria macgregorii
Uvaria macrantha
Uvaria macropoda
Uvaria marenteria
Uvaria mendesii
Uvaria micrantha
Uvaria microcarpa
Uvaria mocoli
Uvaria modesta
Uvaria mollis
Uvaria monticola
Uvaria muricata
Uvaria musaria
Uvaria narum
Uvaria ngounyensis
Uvaria obanensis
Uvaria oligocarpa
Uvaria osmantha
Uvaria ovata
Uvaria paivana
Uvaria panayensis
Uvaria papuasica
Uvaria pauciovulata
Uvaria pierrei
Uvaria poggei
Uvaria psorosperma
Uvaria pulchra
Uvaria relambo
Uvaria rivularis
Uvaria rufa
Uvaria rupestris
Uvaria saboureaui
Uvaria sambiranensis
Uvaria sankowskyi
Uvaria sassandrensis
Uvaria scabrida
Uvaria scabridula
Uvaria schefferi
Uvaria scheffleri
Uvaria schizocalyx
Uvaria schweinfurthii
Uvaria smithii
Uvaria sphenocarpa
Uvaria timoriensis
Uvaria tonkinensis
Uvaria topazensis
Uvaria tortilis
Uvaria uhrii
Uvaria unguiculata
Uvaria utteridgei
Uvaria valderramensis
Uvaria verrucosa
Uvaria versicolor
Uvaria vietnamensis
Uvaria welwitschii
Uvaria wrayi
Uvaria zeylanica
Uvaria zschokkei
Uvariodendron citriodorum
Uvariodendron kimbozaense
Uvariodendron mossambicense
Uvariodendron occidentalis
Uvariodendron pilosicarpum
Uvariopsis etugeana
Uvariopsis oligocarpa
Uvariopsis pedunculosa
Wangia florulenta
Wangia saccopetaloides
Winitia cauliflora
Winitia expansa
Winitia longipes
Winitia thailandana
Xylopia aenea
Xylopia ampla
Xylopia anomala
Xylopia australis
Xylopia brasiliensis
Xylopia brunneola
Xylopia bullata
Xylopia calosericea
Xylopia carinata
Xylopia caudata
Xylopia chlorosperma
Xylopia cornuta
Xylopia corrugata
Xylopia dehiscens
Xylopia densifolia
Xylopia dibaccata
Xylopia egleriana
Xylopia erythrodactyla
Xylopia galokothamna
Xylopia glomerulosa
Xylopia kalabenonensis
Xylopia kuchingensis
Xylopia lanceola
Xylopia lanceolata
